btrf_pt-O+,btrf_pt-A+,btrf_pt-B+,btrf_pt-AB+,btrf_pt-O-,btrf_pt-A-,btrf_pt-B-,btrf_pt-AB-
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9876836325864372,0.012316367413562844,0.0,0.0,0.0,0.0,0.0,0.0
0.9753214638971316,0.024678536102868447,0.0,0.0,0.0,0.0,0.0,0.0
0.963010582533874,0.036989417466126,0.0,0.0,0.0,0.0,0.0,0.0
0.9506526898734177,0.03698575949367089,0.012361550632911392,0.0,0.0,0.0,0.0,0.0
0.9383466824878869,0.03698210224463562,0.024671215267477505,0.0,0.0,0.0,0.0,0.0
0.9260431085623888,0.03697844571880562,0.03697844571880562,0.0,0.0,0.0,0.0,0.0
0.9260009886307464,0.03697478991596639,0.037024221453287195,0.0,0.0,0.0,0.0,0.0
0.9261565836298933,0.036971134835903516,0.036872281534203244,0.0,0.0,0.0,0.0,0.0
0.9261675315048183,0.036965653570546084,0.03686681492463553,0.0,0.0,0.0,0.0,0.0
0.9261254138459257,0.036962000296486636,0.03691258585758759,0.0,0.0,0.0,0.0,0.0
0.9260302401423065,0.037058997924696115,0.03691076193299733,0.0,0.0,0.0,0.0,0.0
0.9259881422924902,0.03710474308300395,0.03690711462450593,0.0,0.0,0.0,0.0,0.0
0.9259003112186929,0.037148643975695304,0.036951044805611816,0.0,0.0,0.0,0.0,0.0
0.9259606835918206,0.03709374691297046,0.03694556949520893,0.0,0.0,0.0,0.0,0.0
0.9258198340576848,0.03723824575266693,0.03694192018964836,0.0,0.0,0.0,0.0,0.0
0.9256826823366747,0.03733148980297269,0.03698582786035257,0.0,0.0,0.0,0.0,0.0
0.9255455712451861,0.03742470623086798,0.03702972252394589,0.0,0.0,0.0,0.0,0.0
0.9255529225908373,0.03747037914691943,0.036976698262243285,0.0,0.0,0.0,0.0,0.0
0.9255109092704117,0.037466679830190544,0.03702241089939777,0.0,0.0,0.0,0.0,0.0
0.9254195459032577,0.03751233958538993,0.03706811451135242,0.0,0.0,0.0,0.0,0.0
0.924933372816109,0.038002171552660155,0.037064455631230876,0.0,0.0,0.0,0.0,0.0
0.9238057639163048,0.03908409001184367,0.037110146071851556,0.0,0.0,0.0,0.0,0.0
0.922727721306622,0.04016579492746472,0.03710648376591335,0.0,0.0,0.0,0.0,0.0
0.920424272323631,0.042081894425259,0.03744449925999013,4.93339911198816e-05,0.0,0.0,0.0,0.0
0.9177845728940619,0.04364766226080095,0.03841980666798185,0.00014795817715525746,0.0,0.0,0.0,0.0
0.9146942800788954,0.04521696252465483,0.039891518737672584,0.0001972386587771203,0.0,0.0,0.0,0.0
0.9115559061329126,0.04688424373890751,0.04131335042397949,0.00024649970420035494,0.0,0.0,0.0,0.0
0.9088130914826499,0.048353706624605676,0.04253746056782334,0.00029574132492113565,0.0,0.0,0.0,0.0
0.9060498571287812,0.04975859690609912,0.0436988865898118,0.0004926593753079121,0.0,0.0,0.0,0.0
0.9032115062555414,0.05137424884247857,0.04487242636193479,0.0005418185400453158,0.0,0.0,0.0,0.0
0.9003348434114634,0.05298404569627733,0.04604096907622612,0.0006401418160330904,0.0,0.0,0.0,0.0
0.8971051595116187,0.05449980307207562,0.04770578968097676,0.0006892477353288697,0.0,0.0,0.0,0.0
0.8926603699330972,0.056621408894136166,0.049685163321526955,0.0010330578512396695,0.0,0.0,0.0,0.0
0.8892003540867512,0.058817743680535065,0.05085079177731878,0.001131110455394905,0.0,0.0,0.0,0.0
0.8858786508014554,0.060379585013275644,0.05256170714917888,0.0011800570360900777,0.0,0.0,0.0,0.0
0.8807114080770364,0.06249385870099244,0.05527169106809472,0.001523042153876388,0.0,0.0,0.0,0.0
0.8764916760791632,0.06467612827186564,0.05716250061385847,0.0016696950351127043,0.0,0.0,0.0,0.0
0.8727844061471989,0.06633279324397309,0.05916433446261109,0.0017184661462169195,0.0,0.0,0.0,0.0
0.8687478525499436,0.06827664065184312,0.06115937760761793,0.001816129190595396,0.0,0.0,0.0,0.0
0.8646022476321342,0.07047161014869706,0.0630612945968494,0.0018648476223192816,0.0,0.0,0.0,0.0
0.8613905107698346,0.07158628134046416,0.06510966095873608,0.0019135469309651146,0.0,0.0,0.0,0.0
0.8585164835164835,0.07240973312401884,0.0671605180533752,0.001913265306122449,0.0,0.0,0.0,0.0
0.8558814872952026,0.07308937506131659,0.06911606004120475,0.001913077602276072,0.0,0.0,0.0,0.0
0.8540317834020011,0.07342554443790465,0.07062978222483814,0.0019128899352560329,0.0,0.0,0.0,0.0
0.8526599656778622,0.07384162784996323,0.07148810983084089,0.00201029664133366,0.0,0.0,0.0,0.0
0.8517084170792686,0.07417030246580715,0.07206235599784303,0.0020589244570812294,0.0,0.0,0.0,0.0
