time,population_size,deaths,births,sex_f,sex_m,bt_pt-O,bt_pt-A,bt_pt-B,bt_pt-AB,btrf_pt-O+,btrf_pt-A+,btrf_pt-B+,btrf_pt-AB+,btrf_pt-O-,btrf_pt-A-,btrf_pt-B-,btrf_pt-AB-,[0.0-10.0),[10.0-20.0),[20.0-30.0),[30.0-40.0),[40.0-50.0),[50.0-60.0),[60.0-70.0),[70.0-80.0),[80.0-90.0),[90.0-100.0),[100.0)
1,20002,263,265,10000,10002,20002,0,0,0,20002,0,0,0,0,0,0,0,3849,3991,3934,3902,3964,362,0,0,0,0,0
2,20004,263,265,10012,9992,20004,0,0,0,20004,0,0,0,0,0,0,0,3710,3971,3901,3806,3920,696,0,0,0,0,0
3,20007,263,266,10016,9991,20007,0,0,0,20007,0,0,0,0,0,0,0,3532,3963,3876,3792,3798,1046,0,0,0,0,0
4,20009,263,265,10032,9977,20009,0,0,0,20009,0,0,0,0,0,0,0,3361,3976,3858,3778,3698,1338,0,0,0,0,0
5,20011,263,265,10046,9965,20011,0,0,0,20011,0,0,0,0,0,0,0,3231,3950,3846,3776,3605,1603,0,0,0,0,0
6,20013,263,265,10044,9969,20013,0,0,0,20013,0,0,0,0,0,0,0,3074,3934,3877,3776,3510,1842,0,0,0,0,0
7,20014,264,265,10034,9980,20014,0,0,0,20014,0,0,0,0,0,0,0,2944,3953,3780,3809,3483,2045,0,0,0,0,0
8,20016,263,265,10051,9965,20016,0,0,0,20016,0,0,0,0,0,0,0,2830,3876,3798,3791,3426,2295,0,0,0,0,0
9,20019,263,266,10054,9965,20019,0,0,0,20019,0,0,0,0,0,0,0,2724,3849,3795,3744,3398,2509,0,0,0,0,0
10,20021,264,266,10073,9948,20021,0,0,0,20021,0,0,0,0,0,0,0,2620,3784,3817,3746,3309,2745,0,0,0,0,0
11,20024,263,266,10061,9963,20024,0,0,0,20024,0,0,0,0,0,0,0,2615,3667,3806,3689,3328,2728,191,0,0,0,0
12,20026,264,266,10057,9969,20026,0,0,0,20026,0,0,0,0,0,0,0,2621,3545,3792,3660,3291,2728,389,0,0,0,0
13,20028,264,266,10038,9990,20028,0,0,0,20028,0,0,0,0,0,0,0,2617,3377,3779,3661,3312,2690,592,0,0,0,0
14,20030,264,266,10030,10000,20030,0,0,0,20030,0,0,0,0,0,0,0,2621,3225,3801,3648,3318,2672,745,0,0,0,0
15,20032,264,266,10045,9987,20032,0,0,0,20032,0,0,0,0,0,0,0,2621,3101,3795,3649,3334,2635,897,0,0,0,0
16,20034,264,266,10037,9997,20034,0,0,0,20034,0,0,0,0,0,0,0,2620,2952,3786,3683,3349,2620,1024,0,0,0,0
17,20036,264,266,10059,9977,20036,0,0,0,20036,0,0,0,0,0,0,0,2617,2836,3800,3624,3395,2637,1127,0,0,0,0
18,20038,264,266,10065,9973,20038,0,0,0,20038,0,0,0,0,0,0,0,2620,2733,3735,3637,3407,2611,1295,0,0,0,0
19,20040,264,266,10056,9984,20040,0,0,0,20040,0,0,0,0,0,0,0,2627,2631,3728,3631,3374,2630,1419,0,0,0,0
20,20042,264,266,10078,9964,20042,0,0,0,20042,0,0,0,0,0,0,0,2631,2531,3665,3664,3380,2620,1551,0,0,0,0
21,20044,264,266,10084,9960,20044,0,0,0,20044,0,0,0,0,0,0,0,2633,2538,3559,3657,3363,2680,1536,78,0,0,0
22,20046,264,266,10110,9936,20046,0,0,0,20046,0,0,0,0,0,0,0,2630,2545,3444,3655,3355,2676,1580,161,0,0,0
23,20048,264,266,10118,9930,20048,0,0,0,20048,0,0,0,0,0,0,0,2638,2545,3290,3659,3374,2684,1620,238,0,0,0
24,20050,264,266,10115,9935,20050,0,0,0,20050,0,0,0,0,0,0,0,2639,2550,3139,3690,3384,2720,1629,299,0,0,0
25,20052,264,266,10098,9954,20052,0,0,0,20052,0,0,0,0,0,0,0,2637,2557,3020,3680,3402,2742,1640,374,0,0,0
26,20054,264,266,10092,9962,20054,0,0,0,20054,0,0,0,0,0,0,0,2641,2557,2878,3667,3439,2804,1649,419,0,0,0
27,20056,264,266,10101,9955,20056,0,0,0,20056,0,0,0,0,0,0,0,2641,2565,2767,3687,3376,2869,1703,448,0,0,0
28,20058,264,266,10091,9967,20058,0,0,0,20058,0,0,0,0,0,0,0,2646,2568,2678,3627,3409,2881,1738,511,0,0,0
29,20060,264,266,10108,9952,20060,0,0,0,20060,0,0,0,0,0,0,0,2642,2582,2578,3620,3423,2859,1771,585,0,0,0
30,20062,264,266,10099,9963,20062,0,0,0,20062,0,0,0,0,0,0,0,2639,2586,2479,3563,3456,2900,1788,651,0,0,0
31,20064,264,266,10089,9975,20064,0,0,0,20064,0,0,0,0,0,0,0,2644,2588,2482,3461,3437,2908,1836,690,18,0,0
32,20066,264,266,10098,9968,20066,0,0,0,20066,0,0,0,0,0,0,0,2649,2586,2492,3354,3430,2929,1859,732,35,0,0
33,20069,264,267,10105,9964,20069,0,0,0,20069,0,0,0,0,0,0,0,2647,2596,2501,3200,3444,2960,1903,775,43,0,0
34,20071,264,266,10106,9965,20071,0,0,0,20071,0,0,0,0,0,0,0,2647,2600,2506,3057,3483,2979,1959,791,49,0,0
35,20073,264,266,10088,9985,20073,0,0,0,20073,0,0,0,0,0,0,0,2640,2603,2513,2946,3481,2997,2004,838,51,0,0
36,20074,265,266,10104,9970,20074,0,0,0,20074,0,0,0,0,0,0,0,2638,2609,2519,2814,3487,3027,2053,871,56,0,0
37,20076,264,266,10119,9957,20076,0,0,0,20076,0,0,0,0,0,0,0,2637,2612,2523,2709,3504,2986,2138,910,57,0,0
38,20079,264,267,10110,9969,20079,0,0,0,20079,0,0,0,0,0,0,0,2640,2611,2531,2628,3444,3037,2172,943,73,0,0
39,20082,264,267,10106,9976,20082,0,0,0,20082,0,0,0,0,0,0,0,2642,2610,2549,2533,3444,3045,2197,984,78,0,0
40,20085,264,267,10098,9987,20085,0,0,0,20085,0,0,0,0,0,0,0,2642,2606,2555,2438,3404,3091,2250,1010,89,0,0
41,20087,264,266,10087,10000,20087,0,0,0,20087,0,0,0,0,0,0,0,2643,2610,2562,2440,3308,3099,2266,1073,86,0,0
42,20088,265,266,10092,9996,20088,0,0,0,20088,0,0,0,0,0,0,0,2645,2613,2559,2454,3206,3108,2298,1108,97,0,0
43,20091,264,267,10074,10017,20091,0,0,0,20091,0,0,0,0,0,0,0,2647,2609,2569,2466,3067,3147,2327,1149,110,0,0
44,20092,265,266,10079,10013,20092,0,0,0,20092,0,0,0,0,0,0,0,2654,2608,2578,2468,2938,3186,2355,1200,105,0,0
45,20094,264,266,10079,10015,20094,0,0,0,20094,0,0,0,0,0,0,0,2658,2605,2580,2475,2833,3186,2388,1243,126,0,0
46,20097,264,267,10095,10002,20097,0,0,0,20097,0,0,0,0,0,0,0,2657,2614,2578,2483,2712,3188,2433,1295,137,0,0
47,20099,265,267,10083,10016,20099,0,0,0,20099,0,0,0,0,0,0,0,2653,2616,2578,2496,2619,3224,2410,1357,146,0,0
48,20101,265,267,10099,10002,20101,0,0,0,20101,0,0,0,0,0,0,0,2655,2614,2584,2503,2542,3190,2465,1389,159,0,0
49,20103,265,267,10090,10013,20103,0,0,0,20103,0,0,0,0,0,0,0,2654,2617,2586,2521,2448,3185,2491,1429,172,0,0
50,20105,265,267,10107,9998,20105,0,0,0,20105,0,0,0,0,0,0,0,2654,2622,2583,2528,2361,3162,2524,1475,196,0,0
51,20107,265,267,10101,10006,20107,0,0,0,20107,0,0,0,0,0,0,0,2655,2626,2588,2535,2367,3077,2556,1479,224,0,0
52,20109,265,267,10099,10010,20109,0,0,0,20109,0,0,0,0,0,0,0,2656,2630,2590,2534,2378,2995,2555,1538,233,0,0
53,20111,265,267,10085,10026,20111,0,0,0,20111,0,0,0,0,0,0,0,2654,2631,2588,2541,2379,2869,2613,1584,252,0,0
54,20113,265,267,10087,10026,20113,0,0,0,20113,0,0,0,0,0,0,0,2655,2632,2587,2547,2388,2738,2661,1634,271,0,0
55,20115,265,267,10082,10033,20115,0,0,0,20115,0,0,0,0,0,0,0,2656,2634,2582,2550,2403,2637,2693,1677,283,0,0
56,20117,265,267,10086,10031,20117,0,0,0,20117,0,0,0,0,0,0,0,2657,2629,2584,2552,2417,2526,2737,1722,293,0,0
57,20119,265,267,10090,10029,20119,0,0,0,20119,0,0,0,0,0,0,0,2660,2634,2582,2551,2439,2431,2770,1728,323,1,0
58,20121,265,267,10078,10043,20121,0,0,0,20121,0,0,0,0,0,0,0,2662,2636,2588,2555,2443,2357,2748,1784,348,0,0
59,20123,265,267,10083,10040,20123,0,0,0,20123,0,0,0,0,0,0,0,2660,2632,2595,2558,2461,2287,2750,1809,371,0,0
60,20125,265,267,10072,10053,20125,0,0,0,20125,0,0,0,0,0,0,0,2661,2631,2602,2551,2472,2218,2737,1861,392,0,0
61,20127,265,267,10066,10061,20127,0,0,0,20127,0,0,0,0,0,0,0,2657,2631,2606,2561,2478,2229,2649,1904,411,1,0
62,20129,265,267,10071,10058,20129,0,0,0,20129,0,0,0,0,0,0,0,2656,2628,2611,2564,2477,2250,2584,1930,429,0,0
63,20131,265,267,10077,10054,20131,0,0,0,20131,0,0,0,0,0,0,0,2658,2629,2612,2564,2483,2268,2482,1975,459,1,0
64,20133,265,267,10080,10053,20133,0,0,0,20133,0,0,0,0,0,0,0,2658,2626,2616,2562,2492,2283,2396,2018,482,0,0
65,20135,265,267,10075,10060,20135,0,0,0,20135,0,0,0,0,0,0,0,2660,2623,2621,2558,2501,2298,2323,2047,504,0,0
66,20137,265,267,10052,10085,20137,0,0,0,20137,0,0,0,0,0,0,0,2658,2632,2613,2565,2505,2315,2218,2102,529,0,0
67,20139,265,267,10074,10065,20139,0,0,0,20139,0,0,0,0,0,0,0,2662,2629,2616,2565,2506,2339,2143,2130,549,0,0
68,20141,265,267,10085,10056,20141,0,0,0,20141,0,0,0,0,0,0,0,2666,2627,2617,2572,2512,2333,2093,2139,582,0,0
69,20143,265,267,10083,10060,20143,0,0,0,20143,0,0,0,0,0,0,0,2664,2629,2613,2576,2512,2363,2043,2137,606,0,0
70,20144,266,267,10077,10067,20144,0,0,0,20144,0,0,0,0,0,0,0,2664,2632,2612,2583,2499,2378,1984,2156,635,1,0
71,20147,265,268,10078,10069,20147,0,0,0,20147,0,0,0,0,0,0,0,2664,2636,2612,2585,2511,2391,1982,2090,676,0,0
72,20150,265,268,10069,10081,20150,0,0,0,20150,0,0,0,0,0,0,0,2665,2636,2616,2590,2516,2383,2010,2040,693,1,0
73,20153,265,268,10068,10085,20153,0,0,0,20153,0,0,0,0,0,0,0,2667,2641,2616,2592,2519,2396,2015,1973,727,7,0
74,20154,266,267,10070,10084,20154,0,0,0,20154,0,0,0,0,0,0,0,2666,2642,2617,2597,2521,2407,2035,1914,752,3,0
75,20157,265,268,10053,10104,20157,0,0,0,20157,0,0,0,0,0,0,0,2670,2644,2613,2610,2512,2417,2055,1862,771,3,0
76,20159,265,267,10067,10092,20159,0,0,0,20159,0,0,0,0,0,0,0,2670,2644,2625,2599,2519,2413,2079,1784,820,6,0
77,20161,265,267,10052,10109,20161,0,0,0,20161,0,0,0,0,0,0,0,2669,2644,2624,2604,2521,2405,2110,1732,848,4,0
78,20164,265,268,10063,10101,20164,0,0,0,20164,0,0,0,0,0,0,0,2669,2650,2620,2604,2534,2406,2105,1702,869,5,0
79,20166,265,267,10057,10109,20166,0,0,0,20166,0,0,0,0,0,0,0,2669,2651,2620,2603,2541,2411,2142,1663,860,6,0
80,20169,265,268,10057,10112,20169,0,0,0,20169,0,0,0,0,0,0,0,2670,2653,2618,2603,2552,2410,2145,1609,902,7,0
81,20170,266,267,10066,10104,20170,0,0,0,20170,0,0,0,0,0,0,0,2670,2654,2621,2601,2549,2429,2157,1635,850,4,0
82,20172,266,268,10064,10108,20172,0,0,0,20172,0,0,0,0,0,0,0,2670,2657,2622,2606,2553,2438,2157,1672,794,3,0
83,20175,265,268,10072,10103,20175,0,0,0,20175,0,0,0,0,0,0,0,2672,2659,2623,2606,2557,2438,2175,1671,766,8,0
84,20177,266,268,10088,10089,20177,0,0,0,20177,0,0,0,0,0,0,0,2673,2660,2626,2607,2564,2446,2172,1691,731,7,0
85,20179,266,268,10093,10086,20179,0,0,0,20179,0,0,0,0,0,0,0,2672,2660,2627,2605,2572,2439,2196,1694,712,2,0
86,20181,266,268,10089,10092,20181,0,0,0,20181,0,0,0,0,0,0,0,2673,2660,2627,2614,2566,2449,2203,1723,663,3,0
87,20183,266,268,10087,10096,20183,0,0,0,20183,0,0,0,0,0,0,0,2674,2662,2632,2611,2567,2450,2193,1730,662,2,0
88,20185,266,268,10080,10105,20185,0,0,0,20185,0,0,0,0,0,0,0,2674,2663,2634,2605,2572,2458,2210,1714,654,1,0
89,20187,266,268,10067,10120,20187,0,0,0,20187,0,0,0,0,0,0,0,2674,2664,2636,2603,2571,2463,2202,1727,644,3,0
90,20189,266,268,10061,10128,20189,0,0,0,20189,0,0,0,0,0,0,0,2674,2665,2638,2599,2571,2477,2210,1727,626,2,0
91,20191,266,268,10049,10142,20191,0,0,0,20191,0,0,0,0,0,0,0,2674,2662,2641,2600,2573,2469,2223,1742,603,4,0
92,20193,266,268,10050,10143,20193,0,0,0,20193,0,0,0,0,0,0,0,2673,2659,2644,2603,2577,2465,2211,1743,615,3,0
93,20195,266,268,10062,10133,20195,0,0,0,20195,0,0,0,0,0,0,0,2673,2662,2645,2602,2572,2459,2213,1757,612,0,0
94,20197,266,268,10063,10134,20197,0,0,0,20197,0,0,0,0,0,0,0,2673,2661,2647,2604,2562,2460,2222,1745,621,2,0
95,20199,266,268,10071,10128,20199,0,0,0,20199,0,0,0,0,0,0,0,2672,2662,2650,2607,2560,2459,2218,1753,617,1,0
96,20201,266,268,10072,10129,20201,0,0,0,20201,0,0,0,0,0,0,0,2672,2661,2653,2606,2568,2456,2210,1757,615,3,0
97,20203,266,268,10073,10130,20203,0,0,0,20203,0,0,0,0,0,0,0,2669,2662,2654,2613,2559,2471,2210,1745,618,2,0
98,20205,266,268,10064,10141,20205,0,0,0,20205,0,0,0,0,0,0,0,2670,2666,2651,2618,2553,2484,2204,1754,604,1,0
99,20207,266,268,10058,10149,20207,0,0,0,20207,0,0,0,0,0,0,0,2673,2662,2651,2621,2553,2486,2211,1728,622,0,0
100,20209,266,268,10062,10147,20209,0,0,0,20209,0,0,0,0,0,0,0,2673,2662,2651,2625,2559,2472,2212,1737,617,1,0
101,20212,266,269,10076,10136,19943,269,0,0,19943,269,0,0,0,0,0,0,2675,2660,2647,2627,2561,2474,2199,1757,610,2,0
102,20214,266,268,10086,10128,19677,537,0,0,19677,537,0,0,0,0,0,0,2676,2660,2645,2629,2561,2474,2193,1763,612,1,0
103,20216,266,268,10078,10138,19411,537,268,0,19411,537,268,0,0,0,0,0,2679,2654,2649,2631,2561,2466,2197,1762,616,1,0
104,20218,266,268,10070,10148,19145,537,536,0,19145,537,536,0,0,0,0,0,2678,2657,2644,2632,2560,2462,2192,1769,624,0,0
105,20220,266,268,10074,10146,19147,537,536,0,19147,537,536,0,0,0,0,0,2678,2658,2646,2638,2567,2460,2199,1748,626,0,0
106,20221,267,268,10068,10153,19148,537,536,0,19148,537,536,0,0,0,0,0,2675,2658,2647,2639,2568,2465,2200,1747,619,3,0
