time,population_size,deaths,births,sex_f,sex_m,bt_pt-O,bt_pt-A,bt_pt-B,bt_pt-AB,btrf_pt-O+,btrf_pt-A+,btrf_pt-B+,btrf_pt-AB+,btrf_pt-O-,btrf_pt-A-,btrf_pt-B-,btrf_pt-AB-,[0.0-10.0),[10.0-20.0),[20.0-30.0),[30.0-40.0),[40.0-50.0),[50.0-60.0),[60.0-70.0),[70.0-80.0),[80.0-90.0),[90.0-100.0),[100.0)
1,20003,263,266,10006,9997,20003,0,0,0,20003,0,0,0,0,0,0,0,3890,3963,3917,3954,3879,400,0,0,0,0,0
2,20006,263,266,10023,9983,20006,0,0,0,20006,0,0,0,0,0,0,0,3761,3965,3859,3890,3798,733,0,0,0,0,0
3,20008,263,265,10034,9974,20008,0,0,0,20008,0,0,0,0,0,0,0,3643,3904,3867,3828,3704,1062,0,0,0,0,0
4,20011,263,266,10025,9986,20011,0,0,0,20011,0,0,0,0,0,0,0,3465,3925,3841,3761,3665,1354,0,0,0,0,0
5,20013,263,265,10027,9986,20013,0,0,0,20013,0,0,0,0,0,0,0,3314,3915,3762,3813,3570,1639,0,0,0,0,0
6,20014,264,265,10042,9972,20014,0,0,0,20014,0,0,0,0,0,0,0,3162,3883,3779,3769,3553,1868,0,0,0,0,0
7,20016,263,265,10042,9974,20016,0,0,0,20016,0,0,0,0,0,0,0,3058,3810,3793,3765,3476,2114,0,0,0,0,0
8,20018,263,265,10052,9966,20018,0,0,0,20018,0,0,0,0,0,0,0,2903,3832,3744,3788,3392,2359,0,0,0,0,0
9,20020,264,266,10058,9962,20020,0,0,0,20020,0,0,0,0,0,0,0,2743,3822,3776,3729,3397,2553,0,0,0,0,0
10,20022,264,266,10083,9939,20022,0,0,0,20022,0,0,0,0,0,0,0,2593,3856,3764,3694,3403,2712,0,0,0,0,0
11,20024,264,266,10074,9950,20024,0,0,0,20024,0,0,0,0,0,0,0,2591,3712,3770,3688,3330,2710,223,0,0,0,0
12,20026,264,266,10070,9956,20026,0,0,0,20026,0,0,0,0,0,0,0,2592,3591,3787,3630,3338,2684,404,0,0,0,0
13,20028,264,266,10058,9970,20028,0,0,0,20028,0,0,0,0,0,0,0,2598,3480,3741,3661,3319,2653,576,0,0,0,0
14,20030,264,266,10049,9981,20030,0,0,0,20030,0,0,0,0,0,0,0,2604,3306,3774,3644,3312,2663,727,0,0,0,0
15,20032,264,266,10052,9980,20032,0,0,0,20032,0,0,0,0,0,0,0,2615,3166,3769,3579,3383,2629,891,0,0,0,0
16,20034,264,266,10055,9979,20034,0,0,0,20034,0,0,0,0,0,0,0,2617,3027,3752,3608,3359,2675,996,0,0,0,0
17,20036,264,266,10048,9988,20036,0,0,0,20036,0,0,0,0,0,0,0,2614,2942,3669,3637,3374,2654,1146,0,0,0,0
18,20038,264,266,10055,9983,20038,0,0,0,20038,0,0,0,0,0,0,0,2618,2803,3697,3603,3401,2625,1291,0,0,0,0
19,20040,264,266,10042,9998,20040,0,0,0,20040,0,0,0,0,0,0,0,2621,2645,3701,3640,3354,2680,1399,0,0,0,0
