time,population_size,deaths,births,sex_f,sex_m,bt_pt-O,bt_pt-A,bt_pt-B,bt_pt-AB,btrf_pt-O+,btrf_pt-A+,btrf_pt-B+,btrf_pt-AB+,btrf_pt-O-,btrf_pt-A-,btrf_pt-B-,btrf_pt-AB-,[0.0-10.0),[10.0-20.0),[20.0-30.0),[30.0-40.0),[40.0-50.0),[50.0-60.0),[60.0-70.0),[70.0-80.0),[80.0-90.0),[90.0-100.0),[100.0)
1,20001,264,265,9970,10031,20001,0,0,0,20001,0,0,0,0,0,0,0,3700,4023,3976,4076,3879,347,0,0,0,0,0
2,20002,264,265,9981,10021,20002,0,0,0,20002,0,0,0,0,0,0,0,3544,3977,3997,3993,3814,677,0,0,0,0,0
3,20004,263,265,9989,10015,20004,0,0,0,20004,0,0,0,0,0,0,0,3405,3965,3958,3948,3775,953,0,0,0,0,0
4,20005,264,265,9989,10016,20005,0,0,0,20005,0,0,0,0,0,0,0,3261,3911,3989,3888,3686,1270,0,0,0,0,0
5,20007,263,265,9995,10012,20007,0,0,0,20007,0,0,0,0,0,0,0,3142,3869,3955,3893,3592,1556,0,0,0,0,0
6,20010,263,266,9988,10022,20010,0,0,0,20010,0,0,0,0,0,0,0,3045,3824,3916,3805,3609,1811,0,0,0,0,0
7,20012,263,265,9983,10029,20012,0,0,0,20012,0,0,0,0,0,0,0,2934,3796,3870,3792,3585,2035,0,0,0,0,0
8,20014,263,265,9988,10026,20014,0,0,0,20014,0,0,0,0,0,0,0,2825,3751,3837,3770,3587,2244,0,0,0,0,0
9,20015,264,265,9998,10017,20015,0,0,0,20015,0,0,0,0,0,0,0,2700,3721,3802,3815,3528,2449,0,0,0,0,0
10,20018,263,266,10005,10013,20018,0,0,0,20018,0,0,0,0,0,0,0,2600,3681,3809,3763,3519,2646,0,0,0,0,0
11,20021,263,266,10020,10001,20021,0,0,0,20021,0,0,0,0,0,0,0,2606,3520,3829,3742,3502,2615,207,0,0,0,0
12,20023,264,266,10018,10005,20023,0,0,0,20023,0,0,0,0,0,0,0,2610,3388,3799,3760,3444,2648,374,0,0,0,0
13,20025,264,266,10036,9989,20025,0,0,0,20025,0,0,0,0,0,0,0,2622,3259,3798,3738,3429,2671,508,0,0,0,0
14,20027,264,266,10021,10006,20027,0,0,0,20027,0,0,0,0,0,0,0,2618,3145,3752,3776,3393,2666,677,0,0,0,0
15,20029,264,266,10029,10000,20029,0,0,0,20029,0,0,0,0,0,0,0,2621,3040,3720,3754,3419,2636,839,0,0,0,0
16,20031,264,266,10035,9996,20031,0,0,0,20031,0,0,0,0,0,0,0,2621,2951,3682,3739,3364,2723,951,0,0,0,0
17,20033,264,266,10057,9976,20033,0,0,0,20033,0,0,0,0,0,0,0,2621,2840,3667,3714,3373,2731,1087,0,0,0,0
18,20035,264,266,10059,9976,20035,0,0,0,20035,0,0,0,0,0,0,0,2628,2739,3622,3691,3393,2770,1192,0,0,0,0
19,20037,264,266,10064,9973,20037,0,0,0,20037,0,0,0,0,0,0,0,2629,2627,3596,3645,3463,2753,1324,0,0,0,0
20,20039,264,266,10059,9980,20039,0,0,0,20039,0,0,0,0,0,0,0,2630,2530,3563,3663,3413,2782,1458,0,0,0,0
21,20041,264,266,10055,9986,20041,0,0,0,20041,0,0,0,0,0,0,0,2627,2542,3408,3689,3403,2801,1478,93,0,0,0
22,20043,264,266,10054,9989,20043,0,0,0,20043,0,0,0,0,0,0,0,2631,2546,3283,3657,3431,2795,1546,154,0,0,0
23,20045,264,266,10068,9977,20045,0,0,0,20045,0,0,0,0,0,0,0,2633,2551,3161,3654,3431,2811,1579,225,0,0,0
24,20047,264,266,10065,9982,20047,0,0,0,20047,0,0,0,0,0,0,0,2632,2551,3054,3609,3475,2804,1629,293,0,0,0
25,20049,264,266,10068,9981,20049,0,0,0,20049,0,0,0,0,0,0,0,2629,2560,2955,3584,3468,2824,1672,357,0,0,0
26,20051,264,266,10079,9972,20051,0,0,0,20051,0,0,0,0,0,0,0,2628,2568,2877,3546,3454,2796,1781,401,0,0,0
27,20053,264,266,10078,9975,20053,0,0,0,20053,0,0,0,0,0,0,0,2629,2565,2781,3542,3430,2823,1823,460,0,0,0
28,20055,264,266,10073,9982,20055,0,0,0,20055,0,0,0,0,0,0,0,2635,2575,2682,3501,3419,2853,1881,509,0,0,0
29,20057,264,266,10053,10004,20057,0,0,0,20057,0,0,0,0,0,0,0,2635,2575,2578,3481,3392,2951,1871,574,0,0,0
30,20059,264,266,10073,9986,20059,0,0,0,20059,0,0,0,0,0,0,0,2636,2579,2495,3450,3418,2923,1937,621,0,0,0
31,20061,264,266,10077,9984,20061,0,0,0,20061,0,0,0,0,0,0,0,2637,2582,2502,3305,3453,2945,1961,658,18,0,0
32,20063,264,266,10082,9981,20063,0,0,0,20063,0,0,0,0,0,0,0,2637,2588,2508,3188,3431,2991,1987,709,24,0,0
33,20065,264,266,10083,9982,20065,0,0,0,20065,0,0,0,0,0,0,0,2642,2585,2513,3077,3437,3009,2009,758,35,0,0
34,20067,264,266,10079,9988,20067,0,0,0,20067,0,0,0,0,0,0,0,2639,2589,2510,2983,3397,3069,2019,818,43,0,0
35,20070,264,267,10078,9992,20070,0,0,0,20070,0,0,0,0,0,0,0,2642,2589,2518,2893,3390,3070,2041,866,61,0,0
36,20072,264,266,10087,9985,20072,0,0,0,20072,0,0,0,0,0,0,0,2644,2589,2528,2814,3358,3088,2068,931,52,0,0
37,20075,264,267,10078,9997,20075,0,0,0,20075,0,0,0,0,0,0,0,2643,2593,2524,2726,3354,3099,2106,968,62,0,0
38,20078,264,267,10099,9979,20078,0,0,0,20078,0,0,0,0,0,0,0,2645,2592,2538,2634,3324,3087,2171,1022,65,0,0
39,20079,265,266,10103,9976,20079,0,0,0,20079,0,0,0,0,0,0,0,2646,2595,2546,2531,3315,3075,2272,1019,80,0,0
40,20081,265,267,10090,9991,20081,0,0,0,20081,0,0,0,0,0,0,0,2646,2595,2548,2449,3295,3113,2264,1086,85,0,0
41,20082,265,266,10094,9988,20082,0,0,0,20082,0,0,0,0,0,0,0,2648,2600,2551,2455,3163,3147,2296,1114,108,0,0
42,20085,264,267,10086,9999,20085,0,0,0,20085,0,0,0,0,0,0,0,2646,2606,2553,2462,3050,3137,2340,1174,117,0,0
43,20087,264,266,10066,10021,20087,0,0,0,20087,0,0,0,0,0,0,0,2650,2610,2549,2475,2949,3146,2385,1190,133,0,0
44,20090,264,267,10055,10035,20090,0,0,0,20090,0,0,0,0,0,0,0,2655,2610,2556,2474,2875,3103,2450,1218,149,0,0
45,20092,264,266,10045,10047,20092,0,0,0,20092,0,0,0,0,0,0,0,2653,2615,2554,2486,2785,3116,2475,1255,153,0,0
46,20095,264,267,10040,10055,20095,0,0,0,20095,0,0,0,0,0,0,0,2653,2619,2559,2494,2715,3093,2507,1294,161,0,0
47,20098,264,267,10023,10075,20098,0,0,0,20098,0,0,0,0,0,0,0,2655,2618,2561,2493,2644,3082,2519,1344,182,0,0
